Dataset,DATASET_ID,PLATFORM,TITLE,SUMMARY,TAXON,DATASET_TYPE,PUBMED,Website,Sample Number,AGE,ALCOHOL,RECURRENT,OS,Grade,HPV+,HPV-,Race,Gender,Smoking,Stage M,Stage N,Stage T,TUMOR_SITE|HYPOPHARYNX,TUMOR_SITE|LARYNX,TUMOR_SITE|ORAL CAVITY,TUMOR_SITE|OROPHARYNX,Non_empty,Info
GSE65858,200065858,Illumina HumanHT-12 V4.0 expression beadchip;,Gene expression patterns and TP53 mutations are associated with HPV RNA status lymph node metastasis and survival in head and neck cancer,A growing proportion of head and neck squamous cell carcinomas (HNSCC) is associated with the human papilloma virus (HPV) particularly HPV16. We compare tumors with different HPV16 DNA and RNA (E6*I) status from 290 consecutively recruited HNSCC patients by gene expression profiling and targeted sequencing of 50 genes. We confirm that the HPV16 DNA+ RNA+ tumors are molecularly distinct from the HPV-negative (DNA-) HNSCC and have elevated expression of cell cycle genes and rare TP53 mutations (3.6% 1/28). We show that tumors with non-transcriptionally active HPV16 (DNA+ RNA-) are similar to HPV DNA- tumors regarding gene expression and frequency of TP53 mutations (47% 8/17 and 43% 72/167 respectively). Furthermore we identify four gene expression clusters. They moderately but significantly differ in overall survival. One cluster exhibits high expression of immune response genes (IR) and contains most of the HPV16 DNA+ RNA+ patients. The IR cluster and disruptive TP53 mutations are associated with lymph node metastasis independent of HPV16 status and we validate each of these associations in another large data set. Consistent with earlier studies disruptive TP53 mutations are prognostically unfavorable. Our findings underscore the importance of measuring the HPV16 RNA (E6*I) and TP53-mutation status for patient stratification and for the first time identify associations of an immune response-related gene expression cluster and TP53 mutations with lymph node metastasis in HNSCC.,Homo sapiens,Microarray,26095926,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65858,270,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,15,
GSE39368,200039368,Agilent-UNC-custom-4X44K,Molecular Subtypes in Head and Neck Cancer,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,Microarray,23451093,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE39368,237,Y,Y,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,14,
GSE117973,200117973,Illumina HumanHT-12 V4.0 expression beadchip;,Global gene expression analysis of primary head and neck cancer cases,This study addressed the assumption that in addition to somatic mutations epigenetic silencing of cancer-related genes by promoter hyper-methylation is a common event in head and neck cancer. A multi-scale omics approach based on whole-exome sequencing global DNA methylation and gene expression profiling data derived from tumor samples of the HIPO-HNC cohort was conducted and new findings were confirmed with data from TCGA-HNC. Results provide experimental evidence that the ryanodine receptor 2 (RYR2) exhibits variable promoter methylation and expression in both tumor samples and HNSCC cell lines. Moreover immunohistochemical staining of tissue sections unraveled a gradual loss of RYR2 expression from normal mucosa via dysplastic lesions to cancer and indicated that reduced RYR2 expression in adjacent tissue and precancer lesions might serve as a risk factor for unfavorable prognosis and upcoming malignant conversion.,Homo sapiens,Microarray,32161122,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117973,77,Y,Y,,Y,Y,Y,Y,,Y,Y,,Y,Y,,,Y,Y,12,
GSE53355,200053355,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,Preserving biological heterogeneity with personalized genomics batch correction,Motivation: Sample source procurement process and other technical variations introduce batch effects into genomics data. Algorithms to remove these artifacts enhance differences between known biological covariates but also carry potential concern of removing intra-group biological heterogeneity and thus any personalized genomic signatures. As a result accurate identification of novel subtypes from batch corrected genomics data is challenging using standard algorithms designed to remove batch effects for class comparison analyses. Nor can batch effects be corrected reliably in future applications of genomics-based clinical tests in which the biological groups are by definition unknown a priori. Results: Therefore we introduce new algorithm personalized-SVA (pSVA) blind to biological covariates corrected technical artifacts while retaining biological heterogeneity in genomic data. This algorithm facilitated accurate subtype identification in head and neck cancer from gene expression data in both formalin fixed and frozen samples. When applied to predict HPV status pSVA improved cross- study validation even if the sample batches were highly confounded with HPV status in the training set. Availability: All analyses were performed using R version 2.15.0. The code and data used to generate the results of this manuscript is available from https://sourceforge.net/projects/psva.,Homo sapiens,Microarray,24907368,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53355,44,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,11,
E-MTAB-850,154259,Illumina HumanWG-6 v3.0 Expression BeadChip,Transcriptional profiling by array of human head and neck squamous cell carcinoma to study the correlation between galectin-1 upregulation and the presence of SMA positive cancer-associated fibroblasts,In this study we set the presence of smooth muscle actin (SMA)-positive cancer-associated fibroblasts (CAFs) in relation to galectin-1 and its in vivo competitor (galectin-3). In squamous cell carcinomas of head and neck upregulation of galectin-1 presence is highly significantly correlated to presence of smooth muscle actin-positive cancer-associated fibroblasts in the tumor. In order to pinpoint correlations on the molecular level we applied microarray analyses to the transcription profiles of the corresponding tumors. Significant correlations of several transcripts were detected with the protein level of galectin-1 in the cancer-associated fibroblasts.,Homo sapiens,Microarray,22447203,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-850,32,,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,Y,Y,10,
GSE58911,200058911,[HuGene-1.0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version];,Gene expression in normal and tumor samples from patients with HNSCC,Tissue samples were collected from patients diagnosed with HNSCC (oropharynx hypopharynx larynx). Samples were taken from the tumor site (tumor samples) and from a site distant to the tumor (normal samples) prior to therapy. The study goals were to 1) compare the expression of microRNAs in tumor and normal samples from individual patients and 2) determine whether the differences in expression of microRNAs is associated with patient survival outcomes.,Homo sapiens,Microarray,25355403,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58911,30,Y,,,,,Y,Y,,,,Y,Y,Y,,Y,Y,Y,9,
GSE29330,200029330,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,Identification of GNG7 as An Epigenetically Silenced Gene in Head and Neck Cancer by Gene Expression Profiling,Silencing of tumor suppressor genes plays a vital role in head and neck carcinogenesis. Aberrant hypermethylation in the promoter region of some known or putative tumor suppressor genes (TSGs) occurs frequently during the development of various cancers including head and neck squamous cell carcinoma (HNSCC). In this study we used an expanded mRNA expression profiling approach followed by microarray expression analysis to identify epigenetically inactivated genes in HNSCC. Two HNSCC cell lines were treated with 5-aza-2’-deoxycytidine followed by microarray analysis to identify epigenetically silenced genes in HNSCC. 1960 614 and 427 genes were upregulated in HNSCC cell lines JHU-012 JHU-011 and the combination of both cell lines respectively. HNSCC tumor and normal mucosal samples were used for gene profiling by a 47K mRNA gene expression array and we found 7140 genes were downregulated in HNSCC tumors compared to normal mucosa as determined by microarray analysis and were integrated with cell line data. Integrative analysis defined 126 candidate genes of which only seven genes showed differentially methylation in tumors and no methylation in normal mucosa after bisulfite sequencing. After validation by QMSP one gene GNG7 was confirmed as being highly methylated in tumors and unmethylated in normal mucosal and salivary rinse samples demonstrating cancer-specific methylation in HNSCC tissues. TXNIP and TUSC2 were partially methylated in tumors and normal salivary rinses but unmethylated in normal mucosa. We concluded GNG7 as a highly specific promoter methylated gene associated with HNSCC. In addition TXNIP and TUSC2 are also potential biomarkers for HNSCC.,Homo sapiens,Microarray,23403885,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29330,18,,,,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,8,
GSE42743,200042743,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,"Oral Cavity Cancer Compared to Adjacent ""Normal"" Tissue [Validation Set]",Oral Cavity Cancer,Homo sapiens,Microarray,23319825,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42743,103,Y,,Y,Y,Y,,,,Y,Y,,Y,Y,,,,,8,
GSE65021,200065021,Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip;,Gene expression profile in relapsed or metastatic HNSCC patients treated with cetuximab and platinum therapy,First line chemotherapy with  platinum and cetuximab is usually offered to RM-HNSCC pts. In the Extreme trial a median progression free survival (PFS) time of 5.6 months was reported. However a small fraction of pts achieves a prolonged PFS (> than 12 months). Till now no recognized predictive biological factor has been identified.,Homo sapiens,Microarray,26920888,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65021,40,Y,,,,Y,,,,Y,,,,Y,Y,Y,Y,Y,8,
E-MTAB-6364,568101,Illumina HumanWG-6 v3.0 Expression BeadChip,Transcription profiling by array of head and neck squamous cell carcinoma samples with focus on extracellular matrix components in stroma,Tumor stroma strongly influences behaviour of cancer cells. Here we study influence of the tumor stroma on transcription activity of head and neck squamous cell carcinoma cells. In particular we compare transcription activity of the cancer cells in relation to expression of a putative prognostic marker tenascin in the tumor stroma.,Homo sapiens,Microarray,29491051,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6364,54,,,,,Y,,,,Y,,,Y,Y,Y,Y,Y,Y,8,
